"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt","salario_medio","salario_medio_brancos","salario_medio_negros","razao_salario_medio"
"1200385","AC",2014,1343,789,1166.49,1381.75,980.7,1.41
"1200385","AC",2016,1188,650,1489.19,1727.67,1352.95,1.28
"1200393","AC",2012,436,31,1171.64,943.64,898.46,1.05
"1200393","AC",2014,446,85,1170.89,952.74,1065.59,0.89
"1200393","AC",2016,638,63,1341.52,947.93,1076.96,0.88
"1200401","AC",2012,99601,62150,1848.9,1598.11,1220.98,1.31
"1200401","AC",2014,104457,62360,2166.24,1834.89,1385.32,1.32
"1200401","AC",2016,98399,54739,2519.29,2302.76,1599.19,1.44
"1200427","AC",2012,595,11,1225.18,671.76,986.39,0.68
"1200427","AC",2014,732,26,1605,1313.47,1092.83,1.2
"1200427","AC",2016,658,23,1994.18,1185.69,1250.29,0.95
"1200435","AC",2012,205,205,1599.83,2020.68,1491.87,1.35
"1200435","AC",2014,206,202,1554.26,1909.27,1496.3,1.28
"1200435","AC",2016,253,250,1664.59,2064.49,1597.39,1.29
"1200450","AC",2012,1747,1111,1082.71,1107.63,915.47,1.21
"1200450","AC",2014,1956,1227,1365.14,1667.86,1153.69,1.45
"1200450","AC",2016,2212,1414,1461.6,1909.38,1299.24,1.47
"1200500","AC",2012,2056,1172,1224.63,1097.54,992.28,1.11
"1200500","AC",2014,2084,2023,1320.12,1445.49,1320.74,1.09
"1200500","AC",2016,1933,1927,1513.76,1801.51,1321.19,1.36
"1200609","AC",2012,1504,1452,1269.77,2066.21,1220.74,1.69
"1200609","AC",2014,1772,1760,1554.34,2794.78,1463.47,1.91
"1200609","AC",2016,1752,1011,1651.38,3226.57,1361.68,2.37
"1200708","AC",2012,743,743,1207.98,1523.11,1223.37,1.25
"1200708","AC",2014,829,825,1291.93,1268.14,1286.82,0.99
"1200708","AC",2016,712,712,1556.04,1729.76,1335.25,1.3
"1200807","AC",2012,368,368,906.18,967.17,889.32,1.09
"1200807","AC",2014,1050,747,1381.99,1295.94,1431.27,0.91
"1200807","AC",2016,1420,1142,1480.29,1393.52,1432.42,0.97
"2700102","AL",2012,1717,935,1199.91,1731.8,1254.22,1.38
"2700102","AL",2014,1278,683,1252.15,1484.46,1013.99,1.46
"2700102","AL",2016,992,179,1440.89,2102.87,1419.33,1.48
"2700201","AL",2012,1075,212,994.19,1133.53,880.43,1.29
"2700201","AL",2014,1180,331,1139.92,987.88,1028.33,0.96
"2700201","AL",2016,989,337,1426.87,1305.53,1038.26,1.26
"2700300","AL",2012,31262,26819,987.71,1023.43,884.38,1.16
"2700300","AL",2014,36077,30690,1167.94,1212.44,1033.55,1.17
"2700300","AL",2016,36836,31885,1366.58,1450.89,1217.38,1.19
"2700409","AL",2012,5521,3883,983.3,1154.32,899.64,1.28
"2700409","AL",2014,3302,1620,1106.38,1263.21,939.56,1.34
"2700409","AL",2016,4874,3198,1471.02,1617.13,1262.02,1.28
"2700508","AL",2012,882,270,1185.14,1237.61,981.16,1.26
"2700508","AL",2014,989,380,1253.5,1053.77,933.05,1.13
"2700508","AL",2016,1022,450,1464.96,1060.61,1207.62,0.88
"2700607","AL",2012,1484,1327,918.53,867.97,911.77,0.95
"2700607","AL",2014,1608,1459,1234.01,1530.33,1302.26,1.18
"2700607","AL",2016,1645,1403,1458.3,1587.73,1431.43,1.11
"2700706","AL",2012,1114,385,948.92,1712.13,970.5,1.76
"2700706","AL",2014,1363,479,1155.01,1632.65,1069.56,1.53
"2700706","AL",2016,1358,480,1376.44,2113.93,1363.11,1.55
"2700805","AL",2012,553,37,1232.69,4757.21,1157.55,4.11
"2700805","AL",2014,512,29,1091.86,1295.06,851.13,1.52
"2700805","AL",2016,524,39,1137.72,1618.6,1271.4,1.27
"2700904","AL",2012,340,70,1201.8,1177.5,1071.49,1.1
"2700904","AL",2014,314,65,1471.51,1216.16,1202.67,1.01
"2700904","AL",2016,299,61,1569.79,1517.23,1480.23,1.02
"2701001","AL",2012,5310,4357,1102.68,1170.68,1114.39,1.05
"2701001","AL",2014,5297,4270,1229.96,1569.03,1209.84,1.3
"2701001","AL",2016,2631,1456,1407.08,1640.49,1307.99,1.25
"2701100","AL",2012,579,67,1121.98,745.73,758.1,0.98
"2701100","AL",2014,551,43,1250.28,803.43,1149.17,0.7
"2701100","AL",2016,549,97,1558.97,1512.32,1672.9,0.9
"2701209","AL",2012,492,76,1054.18,1749.31,785.78,2.23
"2701209","AL",2014,724,87,1383.79,1393.37,981.68,1.42
"2701209","AL",2016,552,84,1594.44,1306.92,1347.13,0.97
"2701308","AL",2012,3305,2380,991.89,1401.33,909.72,1.54
"2701308","AL",2014,3226,2189,1069.54,1166.1,966.08,1.21
"2701308","AL",2016,2180,1092,1353.5,1396.65,1138.16,1.23
"2701357","AL",2012,722,120,848.26,777.96,755.56,1.03
"2701357","AL",2014,624,97,1039.29,1026.83,879.45,1.17
"2701357","AL",2016,104,99,1102.01,1034.51,1053.12,0.98
"2701407","AL",2012,5213,3925,1257.46,1377.66,1144.56,1.2
"2701407","AL",2014,5335,4030,1286.79,1516.46,1172.33,1.29
"2701407","AL",2016,4640,3535,1570.98,1867.48,1460.75,1.28
"2701506","AL",2012,577,61,971.89,1030.38,997.06,1.03
"2701506","AL",2014,613,76,1242.11,1052.68,2045.87,0.51
"2701506","AL",2016,621,85,1342.57,1378.94,1145.65,1.2
"2701605","AL",2012,530,57,1010.66,1508.41,1458.98,1.03
"2701605","AL",2014,604,63,1396.98,1734.08,2557.83,0.68
"2701605","AL",2016,63,63,1686.74,1455.4,2164.6,0.67
"2701704","AL",2012,1621,1025,1090.59,1134.83,852.92,1.33
"2701704","AL",2014,1723,1163,1215.93,1585.96,965.19,1.64
"2701704","AL",2016,1316,797,1748.02,2099.89,1414.81,1.48
"2701803","AL",2012,491,58,1023.03,775.39,925.96,0.84
"2701803","AL",2014,431,44,1254.71,809.16,1245.01,0.65
"2701803","AL",2016,439,46,1726.38,891.15,1305.69,0.68
"2701902","AL",2012,498,83,1215.54,957.7,795.46,1.2
"2701902","AL",2014,546,94,1256.3,989.7,860.85,1.15
"2701902","AL",2016,461,91,1689.23,1245.76,1746.65,0.71
"2702009","AL",2012,535,63,1094.48,966.68,864.04,1.12
"2702009","AL",2014,525,73,1434.9,1451.94,1434.17,1.01
"2702009","AL",2016,519,92,1617.92,1394.73,1165.93,1.2
"2702108","AL",2012,4680,3941,878.48,1247.96,792.08,1.58
"2702108","AL",2014,2368,1745,1051.19,1349.22,945.21,1.43
"2702108","AL",2016,2494,1825,1302.62,1536.38,1133.36,1.36
"2702207","AL",2012,469,58,1063.73,1279.06,788.81,1.62
"2702207","AL",2014,447,98,1197.27,1568.38,946.96,1.66
"2702207","AL",2016,410,146,1582.37,1467.37,1241.5,1.18
"2702306","AL",2012,16768,14728,1170.26,1281.25,1186.39,1.08
"2702306","AL",2014,14465,12374,1461.89,1561.68,1466.72,1.06
"2702306","AL",2016,12633,11070,1659.97,1726.11,1679.29,1.03
"2702355","AL",2012,1317,145,1153.75,2144.03,1403.09,1.53
"2702355","AL",2014,1054,159,1636.81,2388.09,1414.58,1.69
"2702355","AL",2016,985,183,1682.58,1911.61,1264.6,1.51
"2702405","AL",2012,3891,2509,1066.79,1646.67,1013.34,1.62
"2702405","AL",2014,4414,2700,1247.92,2232.78,1212.3,1.84
"2702405","AL",2016,4040,2669,1451.87,2486.36,1389.14,1.79
"2702504","AL",2012,548,34,1054.69,1315.55,1753.1,0.75
"2702504","AL",2014,586,75,1285.26,1278.44,1388.36,0.92
"2702504","AL",2016,565,77,1639.06,1353.43,1210.57,1.12
"2702553","AL",2012,597,97,980.39,849.16,777.22,1.09
"2702553","AL",2014,601,137,1537.32,1307.96,1724.41,0.76
"2702553","AL",2016,738,178,1484.55,1369.83,1145.13,1.2
"2702603","AL",2012,767,113,1180.22,1619.95,791.4,2.05
"2702603","AL",2014,734,110,1397.83,1465.37,1102.13,1.33
"2702603","AL",2016,827,144,1700.51,2030.97,1212.71,1.67
"2702702","AL",2012,513,70,1100.32,1892.13,836.72,2.26
"2702702","AL",2014,557,133,1195.35,1663.4,951.38,1.75
"2702702","AL",2016,509,168,1361.37,1592.79,1048.3,1.52
"2702801","AL",2012,951,274,671.52,861.49,716.78,1.2
"2702801","AL",2014,1019,280,780.73,1170.41,857.12,1.37
"2702801","AL",2016,1063,285,931.45,1433.38,987.99,1.45
"2702900","AL",2012,1454,301,874.54,1235.9,960.83,1.29
"2702900","AL",2014,1251,377,1566.9,1323.26,1356.77,0.98
"2702900","AL",2016,360,360,1346.4,1533.52,1224.83,1.25
"2703007","AL",2012,845,165,1031.22,878.31,737.7,1.19
"2703007","AL",2014,858,173,1145.08,1225.55,981.38,1.25
"2703007","AL",2016,759,168,1424.53,1333.99,1104.59,1.21
"2703106","AL",2012,1098,214,1267.5,1336.16,835.01,1.6
"2703106","AL",2014,1093,207,1504.51,1126.87,1282.5,0.88
"2703106","AL",2016,1212,209,1774,1474.27,1663.73,0.89
"2703205","AL",2012,3911,3112,1132.63,1839.78,1041.61,1.77
"2703205","AL",2014,3385,2464,1425.12,2189.2,1273.5,1.72
"2703205","AL",2016,3985,2869,1741.33,2181.83,1713.33,1.27
"2703304","AL",2012,1303,795,1321.75,1649.98,1467.79,1.12
"2703304","AL",2014,598,86,1500.57,1412.61,1335.44,1.06
"2703304","AL",2016,737,88,1569.86,1392.92,1235.82,1.13
"2703403","AL",2012,271,24,1008.03,1519.97,748.52,2.03
"2703403","AL",2014,259,27,1298.64,1078.18,1032.42,1.04
"2703403","AL",2016,247,33,1490.19,1423.51,1098.77,1.3
"2703502","AL",2012,761,364,810.89,741.29,670.61,1.11
"2703502","AL",2014,783,315,1007.84,1004.62,856.3,1.17
"2703502","AL",2016,629,200,1195.4,1100.34,979.95,1.12
"2703601","AL",2012,553,221,915.39,777.25,751.11,1.03
"2703601","AL",2014,676,290,1115.41,1134.07,896.77,1.26
"2703601","AL",2016,900,585,1229.7,1283.85,1102.64,1.16
"2703700","AL",2012,417,66,1171.46,1034.8,900.23,1.15
"2703700","AL",2014,439,121,1327.45,980.05,1008.5,0.97
"2703700","AL",2016,406,24,1561.17,1186.95,1247.84,0.95
"2703759","AL",2012,4495,3733,1182.19,1422.45,1177.5,1.21
"2703759","AL",2014,3540,2836,1258.34,1736.64,1208.77,1.44
"2703759","AL",2016,2021,1162,1441.7,1651.69,1412.38,1.17
"2703809","AL",2012,848,688,1028.89,984.69,905.72,1.09
"2703809","AL",2014,871,352,1363.91,1350.68,1056.4,1.28
"2703809","AL",2016,1281,285,1649.5,2168.5,1199.3,1.81
"2703908","AL",2012,313,58,1007.77,660.53,825.75,0.8
"2703908","AL",2014,491,176,1055.64,1060.55,903.47,1.17
"2703908","AL",2016,478,168,1268.18,1188.18,1062.38,1.12
"2704005","AL",2012,2608,938,1059.25,1104.42,1076.33,1.03
"2704005","AL",2014,2426,1022,1231.44,1264.37,1309.6,0.97
"2704005","AL",2016,1733,852,1323.6,1172.08,1283.74,0.91
"2704104","AL",2012,814,292,966.49,1009.59,729.48,1.38
"2704104","AL",2014,872,385,1123.96,1211.79,815.79,1.49
"2704104","AL",2016,969,367,1249.12,1438.65,950.07,1.51
"2704203","AL",2012,1163,237,1053.13,1041.15,924.23,1.13
"2704203","AL",2014,1913,845,1101.19,958.88,932.18,1.03
"2704203","AL",2016,1846,746,1333.39,1293.06,1144.94,1.13
"2704302","AL",2012,259697,193260,1493.15,1417.34,1009.33,1.4
"2704302","AL",2014,268701,203334,1805.41,1736.07,1214.28,1.43
"2704302","AL",2016,256236,195001,2089.18,2054.22,1419.04,1.45
"2704401","AL",2012,813,245,1046.19,1253.83,901.81,1.39
