"id_municipio","sigla_uf","ano","salario_medio"
"1301001","AM",2014,1503.77488995215
"1301001","AM",2016,1893.01330870279
"1301100","AM",2012,1254.37178415471
"1301100","AM",2014,1580.61764596273
"1301100","AM",2016,1944.40521974714
"1301159","AM",2012,1021.08597759674
"1301159","AM",2014,1254.28329648241
"1301159","AM",2016,1489.88045703839
"1301209","AM",2012,4782.04167633586
"1301209","AM",2014,3040.77061085638
"1301209","AM",2016,2365.21021279003
"1301308","AM",2012,992.238918406072
"1301308","AM",2014,1241.20717557252
"1301308","AM",2016,1472.45145091225
"1301407","AM",2012,777.897967532468
"1301407","AM",2014,941.203530961793
"1301407","AM",2016,1140.85947508306
"1301506","AM",2012,1003.29897674419
"1301506","AM",2014,1277.93441609421
"1301506","AM",2016,1445.2109190372
"1301605","AM",2012,944.44745614035
"1301605","AM",2014,1133.61468423943
"1301605","AM",2016,1260.91433982115
"1301654","AM",2012,924.168016528925
"1301654","AM",2014,1120.28573033708
"1301654","AM",2016,1285.57018890201
"1301704","AM",2012,1075.3139885744
"1301704","AM",2014,1233.27502621723
"1301704","AM",2016,1490.14760064412
"1301803","AM",2012,1100.89125984252
"1301803","AM",2014,1314.78052109181
"1301803","AM",2016,1491.69329949239
"1301852","AM",2012,1013.69830402723
"1301852","AM",2014,1192.45854890182
"1301852","AM",2016,1488.37207866082
"1301902","AM",2012,1337.19541876191
"1301902","AM",2014,1417.63494158179
"1301902","AM",2016,1607.97088746865
"1301951","AM",2012,1015.89905747126
"1301951","AM",2014,1129.0928458498
"1301951","AM",2016,1281.97878143133
"1302009","AM",2012,2019.69394049159
"1302009","AM",2014,1127.45405970149
"1302009","AM",2016,1478.44065972222
"1302108","AM",2012,1040.25451271186
"1302108","AM",2014,1101.58156521739
"1302108","AM",2016,1326.13395789474
"1302207","AM",2012,1046.34182779456
"1302207","AM",2014,1197.65151515151
"1302207","AM",2016,1294.33890217391
"1302306","AM",2012,914.940397727272
"1302306","AM",2014,1040.41208802457
"1302306","AM",2016,1236.37654822335
"1302405","AM",2012,1003.20104597701
"1302405","AM",2014,1450.08988753056
"1302405","AM",2016,1468.90385774847
"1302504","AM",2012,1162.80775799574
"1302504","AM",2014,1378.16392713178
"1302504","AM",2016,1601.02918345212
"1302553","AM",2012,1122.53188405797
"1302553","AM",2014,1374.58126514132
"1302553","AM",2016,1595.60016236162
"1302603","AM",2012,1778.37737077692
"1302603","AM",2014,2049.69547546759
"1302603","AM",2016,2449.87315116856
"1302702","AM",2012,1231.43117686617
"1302702","AM",2014,1361.18083442838
"1302702","AM",2016,1753.13544359255
"1302801","AM",2012,1020.24620355412
"1302801","AM",2014,1356.07984435798
"1302801","AM",2016,1410.02505654281
"1302900","AM",2012,1288.13577771329
"1302900","AM",2014,1111.7674798649
"1302900","AM",2016,1400.31995487125
"1303007","AM",2012,1222.14931573803
"1303007","AM",2014,1282.01531007752
"1303007","AM",2016,1323.80798887123
"1303106","AM",2012,882.163831999999
"1303106","AM",2014,1121.43448965517
"1303106","AM",2016,1262.42596673597
"1303205","AM",2012,1117.25426470588
"1303205","AM",2014,1368.58870391062
"1303205","AM",2016,1534.38974461293
"1303304","AM",2012,1046.77213704994
"1303304","AM",2014,1168.99503289474
"1303304","AM",2016,1382.31649406688
"1303403","AM",2012,1154.82900909681
"1303403","AM",2014,1223.49833162533
"1303403","AM",2016,1512.07706279191
"1303502","AM",2012,1071.21849889625
"1303502","AM",2014,1115.64292740047
"1303502","AM",2016,1444.34607683353
"1303536","AM",2012,1749.11094271413
"1303536","AM",2014,2540.53450542823
"1303536","AM",2016,2634.81866423871
"1303569","AM",2012,1074.54111600587
"1303569","AM",2014,1298.49160652651
"1303569","AM",2016,1547.95836725254
"1303601","AM",2012,1380.63502057613
"1303601","AM",2014,1206.49849358974
"1303601","AM",2016,1366.4175862069
"1303700","AM",2012,1004.37868512111
"1303700","AM",2014,1234.06002398081
"1303700","AM",2016,1329.70110941086
"1303809","AM",2012,1242.21795446062
"1303809","AM",2014,1421.25100840336
"1303809","AM",2016,1653.0940422584
"1303908","AM",2012,1009.24269889841
"1303908","AM",2014,1289.24553213909
"1303908","AM",2016,1598.01461586902
"1303957","AM",2012,1094.51181818182
"1303957","AM",2014,1582.89701402806
"1303957","AM",2016,1597.31651923077
"1304005","AM",2012,1330.81291044776
"1304005","AM",2014,1281.36791044776
"1304005","AM",2016,1529.7213559322
"1304062","AM",2012,1050.19549598833
"1304062","AM",2014,1221.69231563422
"1304062","AM",2016,1640.12348230912
"1304104","AM",2012,870.470446168767
"1304104","AM",2014,1081.86492063492
"1304104","AM",2016,3542.685
"1304203","AM",2012,1668.46445381581
"1304203","AM",2014,1570.675792431
"1304203","AM",2016,1380.91943365027
"1304237","AM",2012,2451.57357142857
"1304237","AM",2014,1080.64177377892
"1304237","AM",2016,1414.64364130435
"1304260","AM",2012,1489.22162790698
"1304260","AM",2014,1002.90181697613
"1304260","AM",2016,1228.95926481085
"1304302","AM",2012,1136.63238658777
"1304302","AM",2014,1239.96937202664
"1304302","AM",2016,1222.48860018298
"1304401","AM",2012,1308.690912
"1304401","AM",2014,1386.85671132765
"1304401","AM",2016,1832.38590909091
"1600055","AP",2012,1535.54571698113
"1600055","AP",2014,2313.21648275862
"1600055","AP",2016,1993.14447643979
"1600105","AP",2012,3323.45772084806
"1600105","AP",2014,1276.12806431664
"1600105","AP",2016,1400.76638013372
"1600154","AP",2012,2949.29755632582
"1600154","AP",2014,2740.51897079671
"1600154","AP",2016,2836.25197058823
"1600204","AP",2012,1435.55994236311
"1600204","AP",2014,1358.94728985507
"1600204","AP",2016,1589.49951149425
"1600212","AP",2012,841.752857142857
"1600212","AP",2014,1002.58071005917
"1600212","AP",2016,1121.51269340974
"1600238","AP",2012,1834.61083169774
"1600238","AP",2014,2309.12868644068
"1600238","AP",2016,2566.6483047619
"1600253","AP",2012,1056.99756097561
"1600253","AP",2014,1261.776996997
"1600253","AP",2016,1555.62788104089
"1600279","AP",2012,1253.90013524479
"1600279","AP",2014,1582.26525068596
"1600279","AP",2016,1712.5106860518
"1600303","AP",2012,2087.28263794345
"1600303","AP",2014,2521.16452774712
"1600303","AP",2016,2613.52890713096
"1600402","AP",2012,1358.25327038627
"1600402","AP",2014,1455.16708806818
"1600402","AP",2016,1624.73503208066
"1600501","AP",2012,1249.24483709273
