"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt"
"2905206","BA",2014,5865,4265
"2905206","BA",2016,5634,4066
"2905305","BA",2012,647,65
"2905305","BA",2014,766,151
"2905305","BA",2016,333,181
"2905404","BA",2012,2038,1546
"2905404","BA",2014,2641,1947
"2905404","BA",2016,2621,2088
"2905503","BA",2012,602,23
"2905503","BA",2014,697,107
"2905503","BA",2016,575,149
"2905602","BA",2012,3480,2586
"2905602","BA",2014,3497,2498
"2905602","BA",2016,2422,1511
"2905701","BA",2012,75642,68351
"2905701","BA",2014,81646,74065
"2905701","BA",2016,70361,63633
"2905800","BA",2012,2183,1985
"2905800","BA",2014,2382,1533
"2905800","BA",2016,2289,1425
"2905909","BA",2012,1510,439
"2905909","BA",2014,1277,663
"2905909","BA",2016,1250,628
"2906006","BA",2012,3893,2135
"2906006","BA",2014,4377,2730
"2906006","BA",2016,5150,2946
"2906105","BA",2012,690,66
"2906105","BA",2014,697,83
"2906105","BA",2016,77,68
"2906204","BA",2012,1233,216
"2906204","BA",2014,1278,264
"2906204","BA",2016,1310,314
"2906303","BA",2012,2016,1050
"2906303","BA",2014,1321,1137
"2906303","BA",2016,1987,1190
"2906402","BA",2012,428,64
"2906402","BA",2014,510,73
"2906402","BA",2016,504,79
"2906501","BA",2012,15073,11961
"2906501","BA",2014,15866,11325
"2906501","BA",2016,13796,9745
"2906600","BA",2012,612,299
"2906600","BA",2014,455,455
"2906600","BA",2016,677,394
"2906709","BA",2012,1174,508
"2906709","BA",2014,1473,671
"2906709","BA",2016,1431,659
"2906808","BA",2012,1554,377
"2906808","BA",2014,1894,685
"2906808","BA",2016,1566,490
"2906824","BA",2012,643,107
"2906824","BA",2014,679,152
"2906824","BA",2016,641,140
"2906857","BA",2012,675,124
"2906857","BA",2014,713,147
"2906857","BA",2016,659,153
"2906873","BA",2012,2646,1503
"2906873","BA",2014,3166,2090
"2906873","BA",2016,3094,2017
"2906899","BA",2012,110,110
"2906899","BA",2014,118,118
"2906899","BA",2016,247,173
"2906907","BA",2012,2008,980
"2906907","BA",2014,1889,802
"2906907","BA",2016,1869,1171
"2907004","BA",2012,643,91
"2907004","BA",2014,469,134
